rsrp;rsrq
-66;-12
-65;-12
-65;-12
-64;-10
-64;-10
-64;-10
-65;-12
-65;-12
-62;-9
-62;-9
-63;-11
-63;-11
-66;-12
-66;-12
-66;-12
-66;-12
-66;-12
-65;-10
-65;-10
-67;-13
-67;-13
-71;-12
-71;-12
-76;-12
-76;-12
-78;-13
-78;-13
-74;-13
-74;-13
-74;-13
-70;-15
-70;-15
-67;-13
-67;-13
-66;-12
-66;-12
-70;-14
-70;-14
-66;-13
-66;-13
-64;-11
-64;-11
-64;-11
-68;-13
-68;-13
-68;-10
-68;-10
-66;-13
-66;-13
-67;-12
-67;-12
-67;-12
-66;-14
-66;-14
-67;-12
-67;-12
-69;-14
-69;-14
-71;-15
-71;-15
-72;-14
-72;-14
-72;-14
-66;-13
-66;-13
-73;-13
-73;-13
-70;-14
-70;-14
-73;-14
-73;-14
-73;-14
-73;-14
-73;-14
-72;-14
-72;-14
-72;-14
-72;-14
-72;-14
-72;-14
-70;-14
-70;-14
-73;-13
-73;-13
-73;-13
-70;-13
-70;-13
-72;-13
-72;-13
-70;-11
-70;-11
-70;-11
-70;-10
-70;-10
-73;-12
-73;-12
-73;-12
-69;-8
-69;-8
-71;-13
-71;-13
-68;-9
-68;-9
-68;-9
-65;-13
-65;-13
-69;-12
-69;-12
-65;-11
-65;-11
-68;-13
-68;-13
-68;-13
-68;-12
-68;-12
-67;-11
-67;-11
-66;-13
-66;-13
-66;-13
-67;-12
-67;-12
-68;-12
-68;-12
-66;-12
-66;-12
-66;-12
-67;-8
-67;-8
-66;-12
-66;-12
-70;-10
-70;-10
-70;-10
-71;-10
-71;-10
-70;-13
-70;-13
-71;-13
-71;-13
-71;-13
-70;-10
-70;-10
-72;-11
-72;-11
-71;-13
-71;-13
-71;-13
-71;-13
-71;-13
-68;-9
-68;-9
-68;-9
-69;-9
-69;-9
-67;-12
-67;-12
-71;-12
-71;-12
-73;-13
-73;-13
-73;-13
-72;-13
-72;-13
-78;-9
-78;-9
-75;-8
-75;-8
-75;-8
-81;-13
-81;-13
-77;-10
-77;-10
-75;-11
-75;-11
-79;-15
-79;-15
-79;-15
-78;-14
-78;-14
-78;-15
-78;-15
-79;-15
-79;-15
-79;-14
-79;-14
-77;-16
-77;-16
-77;-16
-81;-15
-81;-15
-77;-13
-77;-13
-79;-13
-79;-13
-78;-12
-78;-12
-81;-14
-81;-14
-77;-12
-77;-12
-80;-13
-80;-13
-70;-12
-70;-12
-72;-13
-72;-13
-72;-13
-70;-13
-70;-13
-74;-13
-74;-13
-74;-12
-74;-12
-77;-12
-77;-12
-75;-13
-75;-13
-76;-12
-76;-12
-76;-12
-75;-13
-75;-13
-74;-12
-74;-12
-76;-13
-76;-13
-78;-13
-78;-13
-77;-13
-77;-13
-77;-10
-77;-10
-77;-10
-77;-13
-77;-13
-78;-11
-78;-11
-73;-13
-73;-13
-69;-13
-69;-13
-72;-11
-72;-11
-73;-12
-73;-12
-72;-13
-72;-13
-73;-12
-73;-12
-74;-12
-74;-12
-74;-13
-74;-13
-73;-13
-73;-13
-71;-12
-71;-12
-77;-12
-77;-12
-77;-12
-74;-12
-74;-12
-76;-13
-76;-13
-69;-12
-69;-12
-74;-13
-74;-13
